epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,75763,1.95128,1.38837,0.00066,0.61437,0.48468,0.47281,0.18324,2.19683,2.09769,0.00153,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015
47,77363.9,1.93875,1.38147,0.00065,0.61315,0.48415,0.47249,0.18288,2.19695,2.10487,0.00153,0.0254046,0.0084682,0.0254046,0.0084682,0.0254046,0.0084682,0.0254046,0.0084682
48,78977.8,1.94449,1.38648,0.00066,0.61417,0.48443,0.47252,0.18292,2.19737,2.10667,0.00153,0.0253047,0.0084349,0.0253047,0.0084349,0.0253047,0.0084349,0.0253047,0.0084349
49,80587,1.93957,1.39119,0.00066,0.61561,0.4838,0.47154,0.18241,2.1999,2.10879,0.00154,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
50,82190.4,1.9455,1.37041,0.00066,0.61295,0.48447,0.47134,0.18214,2.20056,2.11251,0.00154,0.0251049,0.0083683,0.0251049,0.0083683,0.0251049,0.0083683,0.0251049,0.0083683
51,83788.4,1.94348,1.38718,0.00066,0.61231,0.48393,0.47087,0.18188,2.20249,2.11325,0.00154,0.025005,0.008335,0.025005,0.008335,0.025005,0.008335,0.025005,0.008335
52,85446.6,1.93307,1.36589,0.00065,0.61158,0.4845,0.47011,0.18143,2.20439,2.11909,0.00154,0.0249051,0.0083017,0.0249051,0.0083017,0.0249051,0.0083017,0.0249051,0.0083017
53,87094.2,1.9321,1.37727,0.00065,0.61189,0.4838,0.46939,0.18088,2.2064,2.12321,0.00154,0.0248052,0.0082684,0.0248052,0.0082684,0.0248052,0.0082684,0.0248052,0.0082684
54,88700.7,1.94001,1.36602,0.00065,0.61116,0.48309,0.46765,0.18003,2.20871,2.12959,0.00154,0.0247053,0.0082351,0.0247053,0.0082351,0.0247053,0.0082351,0.0247053,0.0082351
55,90329,1.9326,1.36297,0.00065,0.61188,0.48248,0.46718,0.17954,2.2077,2.1336,0.00154,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018
56,91951.2,1.93309,1.36266,0.00065,0.61151,0.48161,0.46676,0.17949,2.20651,2.1376,0.00154,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
57,93558.7,1.92804,1.34937,0.00064,0.6123,0.4804,0.46654,0.17938,2.20551,2.14506,0.00154,0.0244056,0.0081352,0.0244056,0.0081352,0.0244056,0.0081352,0.0244056,0.0081352
58,95165.8,1.92658,1.35123,0.00065,0.61261,0.48051,0.46621,0.17894,2.20629,2.15524,0.00154,0.0243057,0.0081019,0.0243057,0.0081019,0.0243057,0.0081019,0.0243057,0.0081019
59,96769.8,1.92182,1.35686,0.00065,0.61564,0.48031,0.46617,0.17894,2.20932,2.15587,0.00154,0.0242058,0.0080686,0.0242058,0.0080686,0.0242058,0.0080686,0.0242058,0.0080686
60,98372.3,1.92322,1.34764,0.00065,0.61469,0.48116,0.46575,0.17892,2.21174,2.15931,0.00154,0.0241059,0.0080353,0.0241059,0.0080353,0.0241059,0.0080353,0.0241059,0.0080353
61,99988.3,1.92402,1.34513,0.00065,0.61422,0.48049,0.46434,0.17802,2.21498,2.16886,0.00155,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
62,101618,1.92037,1.3507,0.00065,0.61351,0.47999,0.46301,0.17774,2.21522,2.17433,0.00155,0.0239061,0.0079687,0.0239061,0.0079687,0.0239061,0.0079687,0.0239061,0.0079687
63,103242,1.92125,1.35404,0.00065,0.61293,0.47823,0.46129,0.17689,2.21751,2.18082,0.00155,0.0238062,0.0079354,0.0238062,0.0079354,0.0238062,0.0079354,0.0238062,0.0079354
64,104827,1.91149,1.34653,0.00064,0.6138,0.47697,0.46004,0.1757,2.22017,2.18798,0.00155,0.0237063,0.0079021,0.0237063,0.0079021,0.0237063,0.0079021,0.0237063,0.0079021
65,106408,1.91534,1.33738,0.00065,0.61212,0.47758,0.45964,0.17517,2.22234,2.1942,0.00155,0.0236064,0.0078688,0.0236064,0.0078688,0.0236064,0.0078688,0.0236064,0.0078688
66,107986,1.90894,1.33019,0.00064,0.61194,0.47656,0.45924,0.1748,2.22417,2.19972,0.00155,0.0235065,0.0078355,0.0235065,0.0078355,0.0235065,0.0078355,0.0235065,0.0078355
67,109568,1.91028,1.32608,0.00064,0.61162,0.47656,0.45869,0.17427,2.22484,2.2062,0.00155,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
68,111148,1.90537,1.33136,0.00064,0.61256,0.47556,0.45806,0.1737,2.22643,2.20912,0.00156,0.0233067,0.0077689,0.0233067,0.0077689,0.0233067,0.0077689,0.0233067,0.0077689
69,112728,1.90639,1.33482,0.00064,0.61293,0.4763,0.45845,0.17334,2.22827,2.2083,0.00156,0.0232068,0.0077356,0.0232068,0.0077356,0.0232068,0.0077356,0.0232068,0.0077356
70,114309,1.90054,1.33073,0.00064,0.61583,0.47501,0.4586,0.17314,2.22947,2.20703,0.00156,0.0231069,0.0077023,0.0231069,0.0077023,0.0231069,0.0077023,0.0231069,0.0077023
71,115948,1.91,1.32832,0.00064,0.61481,0.47471,0.45843,0.17244,2.23278,2.20797,0.00156,0.023007,0.007669,0.023007,0.007669,0.023007,0.007669,0.023007,0.007669
72,117588,1.90417,1.31985,0.00064,0.61445,0.47518,0.45807,0.17172,2.23409,2.2109,0.00156,0.0229071,0.0076357,0.0229071,0.0076357,0.0229071,0.0076357,0.0229071,0.0076357
73,119227,1.90562,1.31508,0.00064,0.61296,0.4765,0.45866,0.17164,2.23439,2.21163,0.00156,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024
74,120823,1.90277,1.32717,0.00064,0.61289,0.47663,0.45886,0.17164,2.23364,2.2136,0.00156,0.0227073,0.0075691,0.0227073,0.0075691,0.0227073,0.0075691,0.0227073,0.0075691
75,122402,1.8954,1.3089,0.00063,0.61398,0.47547,0.45811,0.17119,2.23273,2.21715,0.00156,0.0226074,0.0075358,0.0226074,0.0075358,0.0226074,0.0075358,0.0226074,0.0075358
76,123983,1.90195,1.31119,0.00064,0.61449,0.47499,0.45869,0.1713,2.23314,2.21993,0.00156,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025
77,125560,1.8966,1.31128,0.00064,0.61607,0.4748,0.45701,0.17047,2.23347,2.22989,0.00156,0.0224076,0.0074692,0.0224076,0.0074692,0.0224076,0.0074692,0.0224076,0.0074692
78,127139,1.89578,1.3051,0.00064,0.61533,0.47375,0.45613,0.17008,2.23371,2.23551,0.00156,0.0223077,0.0074359,0.0223077,0.0074359,0.0223077,0.0074359,0.0223077,0.0074359
79,128746,1.89863,1.31566,0.00063,0.61514,0.47386,0.45595,0.16966,2.23531,2.23673,0.00156,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026
80,130330,1.89506,1.31733,0.00064,0.6157,0.47368,0.45526,0.16965,2.23473,2.24266,0.00156,0.0221079,0.0073693,0.0221079,0.0073693,0.0221079,0.0073693,0.0221079,0.0073693
81,131912,1.89502,1.31816,0.00063,0.61904,0.47234,0.45447,0.16929,2.23512,2.24564,0.00156,0.022008,0.007336,0.022008,0.007336,0.022008,0.007336,0.022008,0.007336
82,133506,1.89298,1.31099,0.00063,0.61993,0.47096,0.45396,0.16931,2.23373,2.25013,0.00156,0.0219081,0.0073027,0.0219081,0.0073027,0.0219081,0.0073027,0.0219081,0.0073027
83,135120,1.89086,1.30642,0.00063,0.62119,0.46985,0.45328,0.16893,2.23493,2.25314,0.00156,0.0218082,0.0072694,0.0218082,0.0072694,0.0218082,0.0072694,0.0218082,0.0072694
84,136719,1.89389,1.30034,0.00064,0.61874,0.46959,0.4522,0.16875,2.23558,2.25473,0.00156,0.0217083,0.0072361,0.0217083,0.0072361,0.0217083,0.0072361,0.0217083,0.0072361
85,138324,1.88919,1.30385,0.00064,0.61915,0.46912,0.45218,0.16869,2.23722,2.25805,0.00156,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028
86,139925,1.88632,1.31755,0.00063,0.61924,0.46929,0.45285,0.16903,2.23627,2.26105,0.00156,0.0215085,0.0071695,0.0215085,0.0071695,0.0215085,0.0071695,0.0215085,0.0071695
87,141526,1.88256,1.30326,0.00063,0.61923,0.46862,0.4529,0.16914,2.23609,2.26504,0.00156,0.0214086,0.0071362,0.0214086,0.0071362,0.0214086,0.0071362,0.0214086,0.0071362
88,143132,1.88126,1.29949,0.00063,0.61958,0.46803,0.45279,0.16909,2.23756,2.26686,0.00156,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029
89,144730,1.88032,1.29841,0.00063,0.6194,0.46803,0.45287,0.16908,2.23706,2.2661,0.00156,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
